ID_echantillon;ID_Feuille;Esp;Masse_F_T0;Masse_F_T24;Masse_F_Tsec;Surface_F
01_1;01_1_1;Mangifera_indica;0,241;0,193;0,129;8,53
01_1;01_1_2;Mangifera_indica;1,129;0,984;0,384;47,266
01_1;01_1_3;Mangifera_indica;0,48;0,409;0,153;20,773
01_1;01_1_4;Mangifera_indica;1,061;0,872;0,533;36,385
01_1;01_1_5;Mangifera_indica;0,187;0,154;0,061;8,314
01_2;01_2_1;Mangifera_indica;0,294;0,253;0,103;11,738
01_2;01_2_2;Mangifera_indica;0,626;0,561;0,233;24,353
01_2;01_2_3;Mangifera_indica;1,355;1,224;0,535;47,109
01_2;01_2_4;Mangifera_indica;0,835;0,736;0,311;32,459
01_2;01_2_5;Mangifera_indica;0,725;0,634;0,275;25,98
01_3;01_3_1;Mangifera_indica;1,132;0,974;0,478;45,447
01_3;01_3_2;Mangifera_indica;1,752;1,569;0,601;71,987
01_3;01_3_3;Mangifera_indica;1,205;1,127;0,439;55,244
01_3;01_3_4;Mangifera_indica;1,252;1,085;0,444;51,222
01_3;01_3_5;Mangifera_indica;1,353;1,168;0,465;56,281
01_4;01_4_1;Mangifera_indica;0,445;0,4;0,17;20,173
01_4;01_4_2;Mangifera_indica;1,081;0,982;0,416;44,478
01_4;01_4_3;Mangifera_indica;2,073;1,867;0,767;86,573
01_4;01_4_4;Mangifera_indica;1,734;1,573;0,632;76,02
01_4;01_4_5;Mangifera_indica;1,115;0,978;0,388;50,557
01_5;01_5_1;Mangifera_indica;2,556;1,963;1,102;110,847
01_5;01_5_2;Mangifera_indica;2,58;2,065;1,124;111,227
01_5;01_5_3;Mangifera_indica;0,717;0,612;0,285;34,78
01_5;01_5_4;Mangifera_indica;1,172;1,025;0,474;54,827
01_5;01_5_5;Mangifera_indica;1,67;1,508;0,712;74,295
01_6;01_6_1;Mangifera_indica;2,149;1,808;1,082;84,212
01_6;01_6_2;Mangifera_indica;2,038;1,805;1,019;76,164
01_6;01_6_3;Mangifera_indica;3,472;2,844;1,658;136,496
01_6;01_6_4;Mangifera_indica;3,566;3,121;1,743;131,843
01_6;01_6_5;Mangifera_indica;1,72;1,539;0,864;64,879
02_1;02_1_1;Terminalia_catappa;14,226;10,932;3,915;574,329
02_1;02_1_2;Terminalia_catappa;11,732;8,719;3,719;459,303
02_1;02_1_3;Terminalia_catappa;4,97;3,21;1,463;218,818
02_1;02_1_4;Terminalia_catappa;6,801;4,995;2,111;297,862
02_1;02_1_5;Terminalia_catappa;7,487;5,672;2,465;326,908
02_2;02_2_1;Terminalia_catappa;6,48;5,25;2,256;266,433
02_2;02_2_2;Terminalia_catappa;4,797;3,839;1,679;186,535
02_2;02_2_3;Terminalia_catappa;4,368;3,306;1,55;182,949
02_2;02_2_4;Terminalia_catappa;7,832;5,69;2,637;284,38
02_2;02_2_5;Terminalia_catappa;6;4,89;1,57;240,15
02_3;02_3_1;Terminalia_catappa;6,18;4,608;1,63;251,296
02_3;02_3_2;Terminalia_catappa;5,638;4,55;1,507;222,014
02_3;02_3_3;Terminalia_catappa;7,468;5,384;2,311;295,79
02_3;02_3_4;Terminalia_catappa;2,761;2,191;0,833;121,061
02_3;02_3_5;Terminalia_catappa;4,542;3,608;1,22;180,18
02_4;02_4_1;Terminalia_catappa;5,068;4,4;1,48;196,003
02_4;02_4_2;Terminalia_catappa;6,678;5,901;1,938;263,686
02_4;02_4_3;Terminalia_catappa;6,692;6,341;1,941;258,854
02_4;02_4_4;Terminalia_catappa;9,225;8,021;2,55;317,005
02_4;02_4_5;Terminalia_catappa;6,842;5,919;1,915;248,77
02_5;02_5_1;Terminalia_catappa;5,467;4,456;1,79;196,583
02_5;02_5_2;Terminalia_catappa;4,42;3,717;1,602;176,975
02_5;02_5_3;Terminalia_catappa;4,12;3,193;1,382;142,763
02_5;02_5_4;Terminalia_catappa;5,418;4,435;1,881;202,735
02_5;02_5_5;Terminalia_catappa;4,689;3,065;1,276;173,29
02_6;02_6_1;Terminalia_catappa;7,45;5,701;2,535;264,661
02_6;02_6_2;Terminalia_catappa;7,234;6,425;2,176;215,001
02_6;02_6_3;Terminalia_catappa;3,978;3,483;1,249;133,588
02_6;02_6_4;Terminalia_catappa;10,552;5,949;3,591;370,162
02_6;02_6_5;Terminalia_catappa;8,294;7,3;2,54;248,482
03_1;03_1_1;Alphitonia_neocaledonica;0,674;0,544;0,342;20,437
03_1;03_1_2;Alphitonia_neocaledonica;0,637;0,527;0,317;19,278
03_1;03_1_3;Alphitonia_neocaledonica;0,34;0,274;0,171;10,827
03_1;03_1_4;Alphitonia_neocaledonica;0,506;0,391;0,247;15,55
03_1;03_1_5;Alphitonia_neocaledonica;0,787;0,661;0,393;22,549
03_2;03_2_1;Alphitonia_neocaledonica;0,469;0,367;0,227;10,48
03_2;03_2_2;Alphitonia_neocaledonica;1,115;0,869;0,534;25,731
03_2;03_2_3;Alphitonia_neocaledonica;1,104;0,888;0,533;25,181
03_2;03_2_4;Alphitonia_neocaledonica;1,006;0,791;0,5;22,225
03_2;03_2_5;Alphitonia_neocaledonica;0,96;0,608;0,526;20,659
03_3;03_3_1;Alphitonia_neocaledonica;0,78;0,573;0,395;18,793
03_3;03_3_2;Alphitonia_neocaledonica;1,472;1,067;0,769;33,615
03_3;03_3_3;Alphitonia_neocaledonica;0,657;0,488;0,369;15,41
03_3;03_3_4;Alphitonia_neocaledonica;0,806;0,572;0,436;18,163
03_3;03_3_5;Alphitonia_neocaledonica;0,802;0,531;0,41;18,328
03_4;03_4_1;Alphitonia_neocaledonica;0,384;0,307;0,182;13,741
03_4;03_4_2;Alphitonia_neocaledonica;0,899;0,726;0,415;29,52
03_4;03_4_3;Alphitonia_neocaledonica;0,743;0,617;0,352;24,288
03_4;03_4_4;Alphitonia_neocaledonica;1,327;1,093;0,589;49,993
03_4;03_4_5;Alphitonia_neocaledonica;1,4;1,024;0,77;41,211
03_5;03_5_1;Alphitonia_neocaledonica;0,598;0,46;0,327;10,664
03_5;03_5_2;Alphitonia_neocaledonica;0,868;0,729;0,448;16,663
03_5;03_5_3;Alphitonia_neocaledonica;0,662;0,495;0,376;12,949
03_5;03_5_4;Alphitonia_neocaledonica;0,962;0,783;0,48;17,703
03_5;03_5_5;Alphitonia_neocaledonica;1,333;0,984;0,76;24,086
03_6;03_6_1;Alphitonia_neocaledonica;1,146;0,758;0,667;20,646
03_6;03_6_2;Alphitonia_neocaledonica;1,41;0,902;0,8;26,31
03_6;03_6_3;Alphitonia_neocaledonica;1,013;0,686;0,554;17,94
03_6;03_6_4;Alphitonia_neocaledonica;1,21;0,989;0,63;21,866
03_6;03_6_5;Alphitonia_neocaledonica;1,222;1,017;0,619;21,676
04_1;04_1_1;Grevillea rubiginosa;0,431;0,23;0,19;10,298
04_1;04_1_2;Grevillea_rubiginosa;0,599;0,358;0,261;13,861
04_1;04_1_3;Grevillea_rubiginosa;0,471;0,25;0,204;10,844
04_1;04_1_4;Grevillea_rubiginosa;0,456;0,241;0,2;10,907
04_1;04_1_5;Grevillea_rubiginosa;0,721;0,444;0,352;15,476
04_2;04_2_1;Grevillea_rubiginosa;0,476;0,289;0,244;11,082
04_2;04_2_2;Grevillea_rubiginosa;0,534;0,348;0,271;11,47
04_2;04_2_3;Grevillea_rubiginosa;0,547;0,355;0,276;12,588
04_2;04_2_4;Grevillea_rubiginosa;0,48;0,298;0,266;9,742
04_2;04_2_5;Grevillea_rubiginosa;0,421;0,271;0,216;9,693
04_3;04_3_1;Grevillea_rubiginosa;0,799;0,467;0,426;16,715
04_3;04_3_2;Grevillea_rubiginosa;0,719;0,406;0,357;15,247
04_3;04_3_3;Grevillea_rubiginosa;0,675;0,366;0,329;14,486
04_3;04_3_4;Grevillea_rubiginosa;0,828;0,483;0,431;16,88
04_3;04_3_5;Grevillea_rubiginosa;0,628;0,36;0,332;13,956
04_4;04_4_1;Grevillea_rubiginosa;0,934;0,493;0,44;19
04_4;04_4_2;Grevillea_rubiginosa;0,908;0,533;0,435;17,288
04_4;04_4_3;Grevillea_rubiginosa;0,622;0,321;0,287;13,414
04_4;04_4_4;Grevillea_rubiginosa;1,658;0,91;0,774;31,722
04_4;04_4_5;Grevillea_rubiginosa;1,588;0,828;0,735;31,199
04_5;04_5_1;Grevillea_rubiginosa;0,569;0,334;0,3;14,627
04_5;04_5_2;Grevillea_rubiginosa;0,82;0,508;0,434;20,501
04_5;04_5_3;Grevillea_rubiginosa;0,426;0,277;0,223;10,848
04_5;04_5_4;Grevillea_rubiginosa;0,412;0,24;0,211;10,777
04_5;04_5_5;Grevillea_rubiginosa;0,854;0,547;0,449;21,149
04_6;04_6_1;Grevillea_rubiginosa;0,819;0,508;0,446;17,836
04_6;04_6_2;Grevillea_rubiginosa;0,487;0,282;0,269;11,443
04_6;04_6_3;Grevillea_rubiginosa;1,109;0,669;0,597;22,838
04_6;04_6_4;Grevillea_rubiginosa;0,743;0,454;0,353;16,755
04_6;04_6_5;Grevillea_rubiginosa;0,642;0,39;0,354;14,262
05_1;05_1_1;Codia_spatulata;1,2;0,859;0,541;22,205
05_1;05_1_2;Codia_spatulata;0,651;0,455;0,29;13,839
05_1;05_1_3;Codia_spatulata;0,837;0,459;0,4;16,666
05_1;05_1_4;Codia_spatulata;1,055;0,79;0,481;20,935
05_1;05_1_5;Codia_spatulata;0,708;0,416;0,317;15,945
05_2;05_2_1;Codia_spatulata;0,66;0,58;0,315;15,664
05_2;05_2_2;Codia_spatulata;1,43;1,158;0,655;31,171
05_2;05_2_3;Codia_spatulata;1,668;1,415;0,777;34,606
05_2;05_2_4;Codia_spatulata;0,63;0,487;0,288;15,202
05_2;05_2_5;Codia_spatulata;1,412;1,195;0,654;30,93
05_3;05_3_1;Codia_spatulata;0,706;0,64;0,339;16,666
05_3;05_3_2;Codia_spatulata;1,111;1,003;0,533;24,576
05_3;05_3_3;Codia_spatulata;0,871;0,792;0,407;21,737
05_3;05_3_4;Codia_spatulata;0,675;0,584;0,324;15,847
05_3;05_3_5;Codia_spatulata;0,959;0,625;0,504;19,354
05_4;05_4_1;Codia_spatulata;0,54;0,383;0,261;12,783
05_4;05_4_2;Codia_spatulata;0,554;0,485;0,267;13,112
05_4;05_4_3;Codia_spatulata;0,644;0,563;0,307;15,313
05_4;05_4_4;Codia_spatulata;0,608;0,487;0,296;13,771
05_4;05_4_5;Codia_spatulata;0,852;0,713;0,403;17,621
05_5;05_5_1;Codia_spatulata;1,116;1,009;0,529;22,752
05_5;05_5_2;Codia_spatulata;0,488;0,441;0,231;11,727
05_5;05_5_3;Codia_spatulata;0,667;0,472;0,342;13,545
05_5;05_5_4;Codia_spatulata;0,519;0,458;0,247;11,697
05_5;05_5_5;Codia_spatulata;0,708;0,612;0,341;15,187
05_6;05_6_1;Codia_spatulata;0,55;0,483;0,253;14,228
05_6;05_6_2;Codia_spatulata;0,706;0,611;0,32;17,739
05_6;05_6_3;Codia_spatulata;0,749;0,663;0,345;18,086
05_6;05_6_4;Codia_spatulata;0,706;0,607;0,33;16,062
05_6;05_6_5;Codia_spatulata;0,9;0,605;0,465;18,553
06_1;06_1_1;Geissois_pruinosa;1,812;1,465;0,66;36,356
06_1;06_1_2;Geissois_pruinosa;1,529;1,174;0,671;28,951
06_1;06_1_3;Geissois_pruinosa;2,581;1,908;0,975;44,797
06_1;06_1_4;Geissois_pruinosa;1,56;1,309;0,575;29,442
06_1;06_1_5;Geissois_pruinosa;2,089;1,672;0,79;41,75
06_2;06_2_1;Geissois_pruinosa;0,81;0,671;0,287;22,186
06_2;06_2_2;Geissois_pruinosa;1,041;0,888;0,372;28,437
06_2;06_2_3;Geissois_pruinosa;0,801;0,682;0,285;22,291
06_2;06_2_4;Geissois_pruinosa;1,043;0,784;0,374;27,316
06_2;06_2_5;Geissois_pruinosa;1,085;0,87;0,382;28,399
06_3;06_3_1;Geissois_pruinosa;1,642;1,456;0,612;42,42
06_3;06_3_2;Geissois_pruinosa;2,403;1,743;1,093;55,056
06_3;06_3_3;Geissois_pruinosa;1,948;1,553;0,874;47,03
06_3;06_3_4;Geissois_pruinosa;2,009;1,752;0,755;49,897
06_3;06_3_5;Geissois_pruinosa;1,726;1,479;0,647;43,169
06_4;06_4_1;Geissois_pruinosa;1,505;0,921;0,635;32,419
06_4;06_4_2;Geissois_pruinosa;1,665;1,16;0,692;38,106
06_4;06_4_3;Geissois_pruinosa;1,804;1,185;0,769;39,746
06_4;06_4_4;Geissois_pruinosa;1,834;1,224;0,788;40,73
06_4;06_4_5;Geissois_pruinosa;1,415;0,99;0,59;30,908
06_5;06_5_1;Geissois_pruinosa;1,488;1,083;0,675;32,602
06_5;06_5_2;Geissois_pruinosa;1,296;0,939;0,584;27,897
06_5;06_5_3;Geissois_pruinosa;1,307;1,009;0,589;28,031
06_5;06_5_4;Geissois_pruinosa;1,229;0,97;0,542;27,494
06_5;06_5_5;Geissois_pruinosa;1,074;0,831;0,469;24,386
06_6;06_6_1;Geissois_pruinosa;1,757;1,447;0,597;39,886
06_6;06_6_2;Geissois_pruinosa;1,542;1,308;0,55;30,826
06_6;06_6_3;Geissois_pruinosa;2,358;1,933;0,814;50,583
06_6;06_6_4;Geissois_pruinosa;1,521;1,124;0,458;33,476
06_6;06_6_5;Geissois_pruinosa;1,758;1,503;0,597;38,598
07_1;07_1_1;Araucaria_columnaris;1,321;1,283;;19,86240539
07_1;07_1_2;Araucaria_columnaris;1,484;1,376;;24,57605101
07_1;07_1_3;Araucaria_columnaris;1,43;1,408;;23,29192501
07_1;07_1_4;Araucaria_columnaris;2,151;2,065;;309,2175401
07_1;07_1_5;Araucaria_columnaris;1,168;1,124;;20,12425714
07_2;07_2_1;Araucaria_columnaris;2,933;2,774;;41,02378081
07_2;07_2_2;Araucaria_columnaris;2,5;2,371;;37,31952891
07_2;07_2_3;Araucaria_columnaris;2,252;2,137;;34,57699706
07_2;07_2_4;Araucaria_columnaris;2,496;2,354;;35,94767394
07_2;07_2_5;Araucaria_columnaris;2,292;2,139;;36,93444819
07_3;07_3_1;Araucaria_columnaris;2,058;1,994;;30,64584364
07_3;07_3_2;Araucaria_columnaris;2,439;2,344;;36,89800572
07_3;07_3_3;Araucaria_columnaris;1,903;1,842;;33,29224275
07_3;07_3_4;Araucaria_columnaris;2,507;2,43;;38,20192375
07_3;07_3_5;Araucaria_columnaris;2,19;2,094;;36,65963737
07_4;07_4_1;Araucaria_columnaris;1,927;1,803;;41,11959938
07_4;07_4_2;Araucaria_columnaris;2,591;2,427;;49,30666838
